Age,Gender,Study_Hours,Attendance,Internal_Marks,Assignment_Score,Internet_Usage,Extra_Activities,Sleep_Hours,Final_Exam_Score,Placed
20,Male,5,75,60,65,Medium,Yes,6,68,No
21,Female,7,85,72,70,High,No,7,78,Yes
19,Male,3,60,50,55,Low,No,5,58,No
22,Female,8,90,80,85,Medium,Yes,7,88,Yes
20,Male,6,78,65,68,Medium,Yes,6,72,Yes
21,Female,4,70,58,60,Low,No,6,64,No
23,Male,9,92,85,88,High,Yes,7,91,Yes
19,Female,2,55,45,50,Low,No,5,52,No
20,Male,5,80,66,70,Medium,Yes,6,74,Yes
22,Female,7,88,75,78,High,Yes,7,84,Yes
21,Male,6,82,70,72,Medium,No,6,76,Yes
20,Female,3,65,55,58,Low,No,6,60,No
23,Male,8,91,82,85,High,Yes,7,89,Yes
22,Female,5,75,63,65,Medium,No,6,69,No
19,Male,4,68,57,60,Low,No,5,62,No
21,Female,9,93,88,90,High,Yes,7,94,Yes
20,Male,6,80,70,75,Medium,Yes,6,78,Yes
22,Female,7,85,74,77,High,Yes,7,83,Yes
23,Male,3,62,52,55,Low,No,5,59,No
21,Female,5,72,60,63,Medium,No,6,66,No
20,Male,8,89,78,80,High,Yes,7,86,Yes
19,Female,2,50,40,45,Low,No,5,48,No
22,Male,7,84,72,75,Medium,Yes,6,80,Yes
21,Female,6,79,68,70,Medium,No,6,74,Yes
23,Male,9,94,90,92,High,Yes,7,95,Yes
20,Female,4,68,58,60,Low,No,6,63,No
19,Male,3,60,50,52,Low,No,5,57,No
22,Female,8,90,82,85,High,Yes,7,88,Yes
21,Male,5,76,64,67,Medium,Yes,6,70,Yes
20,Female,6,81,69,72,Medium,No,6,75,Yes
23,Male,7,88,77,80,High,Yes,7,84,Yes
19,Female,2,52,42,45,Low,No,5,50,No
22,Male,9,93,88,90,High,Yes,7,92,Yes
21,Female,5,74,62,65,Medium,No,6,68,No
20,Male,6,82,70,73,Medium,Yes,6,77,Yes
23,Female,8,91,84,86,High,Yes,7,90,Yes
19,Male,3,58,48,50,Low,No,5,55,No
22,Female,7,86,75,78,High,Yes,7,82,Yes
21,Male,4,70,60,62,Medium,No,6,66,No
20,Female,6,80,68,70,Medium,Yes,6,74,Yes
